<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
GDAX.BTC-USD 60 20210322 010000 57830.8800000 58158.4100000 57531.3700000 58143.9400000 398
GDAX.BTC-USD 60 20210322 020000 58143.9400000 58158.2200000 57567.7300000 57616.7200000 381
GDAX.BTC-USD 60 20210322 030000 57612.7700000 57817.4500000 57180.8600000 57363.3200000 423
GDAX.BTC-USD 60 20210322 040000 57377.2900000 57457.3600000 56419.9400000 56600.0000000 607
GDAX.BTC-USD 60 20210322 050000 56600.0000000 56765.2900000 56325.0000000 56644.6600000 838
GDAX.BTC-USD 60 20210322 060000 56644.6600000 57040.0000000 56450.0000000 56978.9500000 429
GDAX.BTC-USD 60 20210322 070000 56982.4900000 57627.3600000 56982.4800000 57554.9400000 333
GDAX.BTC-USD 60 20210322 080000 57561.4200000 57820.6100000 57431.3000000 57610.0100000 305
GDAX.BTC-USD 60 20210322 090000 57610.0100000 57755.0000000 57300.7200000 57578.8900000 189
GDAX.BTC-USD 60 20210322 100000 57578.8900000 57875.7900000 57571.4300000 57663.5300000 209
GDAX.BTC-USD 60 20210322 110000 57657.6600000 57832.0700000 57515.0600000 57559.8200000 182
GDAX.BTC-USD 60 20210322 120000 57572.4100000 57688.7400000 57104.9500000 57191.3600000 194
GDAX.BTC-USD 60 20210322 130000 57191.3600000 57396.2100000 57050.0000000 57364.0500000 207
GDAX.BTC-USD 60 20210322 140000 57364.0500000 58421.6800000 57275.7400000 57898.9300000 578
GDAX.BTC-USD 60 20210322 150000 57903.2700000 58146.4000000 57565.7700000 57714.0900000 438
GDAX.BTC-USD 60 20210322 160000 57722.7400000 57756.0400000 56840.0000000 57250.0100000 699
GDAX.BTC-USD 60 20210322 170000 57250.0100000 57425.2200000 56585.0000000 56999.9900000 1173
GDAX.BTC-USD 60 20210322 180000 57000.0000000 57304.6500000 56800.0000000 57012.1500000 918
